Scenario,Setpoint_g,TrialNo,FinalMass_g,FinalError_g,AbsError_pct,MaxOvershoot_pct,Duration_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,WithinTolerance,StopReason,LogPath
Manual Cepat,30.0,9,30.31,0.3099999999999987,1.033333333333329,0.0,29.927,,,2,True,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial09.txt
Manual Cepat,30.0,10,35.39,5.390000000000001,17.96666666666667,0.0,19.336,,,0,False,TARGET,data/pengujian_final/log_160_trial/manual_cepat/SP30/ManualCepat_SP30_trial10.txt
Manual Presisi,15.0,1,16.47,1.4699999999999989,9.799999999999992,0.0,23.46,,,3,False,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial01.txt
Manual Presisi,15.0,2,15.43,0.4299999999999997,2.866666666666665,0.0,34.054,,,3,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial02.txt
Manual Presisi,15.0,3,15.16,0.16000000000000014,1.0666666666666678,0.0,56.783,,,3,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial03.txt
Manual Presisi,15.0,4,14.35,-0.6500000000000004,4.333333333333336,0.0,62.986,,,3,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial04.txt
Manual Presisi,15.0,5,16.62,1.620000000000001,10.800000000000006,0.0,29.66,,,6,False,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial05.txt
Manual Presisi,15.0,6,14.49,-0.5099999999999998,3.399999999999999,0.0,34.053,,,4,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial06.txt
Manual Presisi,15.0,7,15.89,0.8900000000000006,5.933333333333337,0.0,15.198,,,1,False,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial07.txt
Manual Presisi,15.0,8,14.66,-0.33999999999999986,2.2666666666666657,0.0,40.512,,,1,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial08.txt
Manual Presisi,15.0,9,15.4,0.40000000000000036,2.6666666666666687,0.0,33.796,,,4,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial09.txt
Manual Presisi,15.0,10,21.01,6.010000000000002,40.06666666666668,0.0,8.483,,,1,False,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP15/ManualPresisi_SP15_trial10.txt
Manual Presisi,20.0,1,23.33,3.3299999999999983,16.64999999999999,0.0,67.878,,,14,False,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP20/ManualPresisi_SP20_trial01.txt
Manual Presisi,20.0,2,19.68,-0.3200000000000003,1.6000000000000014,0.0,44.124,,,3,True,TARGET,data/pengujian_final/log_160_trial/manual_presisi/SP20/ManualPresisi_SP20_trial02.txt
