No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes,WithinTolerance
90,Manual Cepat,Manual Cepat,15.0,10,ManualCepat_SP15_trial10.txt,21.43,6.43,42.86,6.43,42.86,6.43,42.86,11.58,11.321,10.846,,1,OVERSHOOT,True,TARGET,0.4,,0
91,Manual Cepat,Manual Cepat,20.0,1,ManualCepat_SP20_trial01.txt,22.92,2.92,14.6,2.92,14.6,2.92,14.6,11.06,8.996,8.521,,0,OVERSHOOT,True,TARGET,0.4,,0
92,Manual Cepat,Manual Cepat,20.0,2,ManualCepat_SP20_trial02.txt,23.1,3.1,15.52,3.1,15.52,3.1,15.52,4.87,3.316,2.841,,0,OVERSHOOT,True,TARGET,0.4,,0
93,Manual Cepat,Manual Cepat,20.0,3,ManualCepat_SP20_trial03.txt,19.81,-0.19,-0.93,0.19,0.93,0.0,0.0,11.58,11.324,8.782,11.324,0,AKURAT,True,TARGET,0.4,,1
94,Manual Cepat,Manual Cepat,20.0,4,ManualCepat_SP20_trial04.txt,20.59,0.59,2.96,0.59,2.96,0.59,2.96,17.78,17.264,16.788,17.522,1,AKURAT,True,TARGET,0.4,,1
95,Manual Cepat,Manual Cepat,20.0,5,ManualCepat_SP20_trial05.txt,22.21,2.21,11.04,2.21,11.04,2.21,11.04,13.13,11.065,10.589,,0,OVERSHOOT,True,TARGET,0.4,,0
96,Manual Cepat,Manual Cepat,20.0,6,ManualCepat_SP20_trial06.txt,20.71,0.71,3.56,0.71,3.56,0.71,3.56,5.38,4.867,4.391,5.125,0,AKURAT,True,TARGET,0.4,,1
97,Manual Cepat,Manual Cepat,20.0,7,ManualCepat_SP20_trial07.txt,20.74,0.74,3.69,0.74,3.69,0.74,3.69,4.87,4.608,4.132,4.608,0,AKURAT,True,TARGET,0.4,,1
98,Manual Cepat,Manual Cepat,20.0,8,ManualCepat_SP20_trial08.txt,23.26,3.26,16.29,3.26,16.29,3.26,16.29,11.32,10.808,10.332,,0,OVERSHOOT,True,TARGET,0.4,,0
99,Manual Cepat,Manual Cepat,20.0,9,ManualCepat_SP20_trial09.txt,21.52,1.52,7.6,1.52,7.6,1.52,7.6,13.39,12.873,12.397,,1,OVERSHOOT,True,TARGET,0.4,,0
100,Manual Cepat,Manual Cepat,20.0,10,ManualCepat_SP20_trial10.txt,23.26,3.26,16.28,3.26,16.28,3.26,16.28,4.87,4.609,4.133,,0,OVERSHOOT,True,TARGET,0.4,,0
101,Manual Cepat,Manual Cepat,25.0,1,ManualCepat_SP25_trial01.txt,28.24,3.24,12.94,3.24,12.94,3.24,12.94,5.64,5.382,4.907,,0,OVERSHOOT,True,TARGET,0.4,,0
102,Manual Cepat,Manual Cepat,25.0,2,ManualCepat_SP25_trial02.txt,31.57,6.57,26.26,6.57,26.26,6.57,26.26,9.26,8.74,8.265,,0,OVERSHOOT,True,TARGET,0.4,,0
103,Manual Cepat,Manual Cepat,25.0,3,ManualCepat_SP25_trial03.txt,24.7,-0.3,-1.2,0.3,1.2,0.0,0.0,9.77,9.257,8.781,9.516,0,AKURAT,True,TARGET,0.4,,1
104,Manual Cepat,Manual Cepat,25.0,4,ManualCepat_SP25_trial04.txt,26.85,1.85,7.4,1.85,7.4,1.85,7.4,13.13,12.873,12.397,,0,OVERSHOOT,True,TARGET,0.4,,0
105,Manual Cepat,Manual Cepat,25.0,5,ManualCepat_SP25_trial05.txt,28.44,3.44,13.74,3.44,13.74,3.44,13.74,15.2,13.39,12.915,,0,OVERSHOOT,True,TARGET,0.4,,0
106,Manual Cepat,Manual Cepat,25.0,6,ManualCepat_SP25_trial06.txt,26.58,1.58,6.33,1.58,6.33,1.58,6.33,7.19,6.675,6.199,,0,OVERSHOOT,True,TARGET,0.4,,0
107,Manual Cepat,Manual Cepat,25.0,7,ManualCepat_SP25_trial07.txt,26.65,1.65,6.6,1.65,6.6,1.65,6.6,9.26,9.0,8.524,,0,OVERSHOOT,True,TARGET,0.4,,0
108,Manual Cepat,Manual Cepat,25.0,8,ManualCepat_SP25_trial08.txt,25.52,0.52,2.07,0.52,2.07,0.52,2.07,7.97,7.45,4.908,7.708,0,AKURAT,True,TARGET,0.4,,1
109,Manual Cepat,Manual Cepat,25.0,9,ManualCepat_SP25_trial09.txt,25.08,0.08,0.32,0.08,0.32,0.17,0.69,11.58,8.999,8.524,10.807,0,AKURAT,True,TARGET,0.4,,1
110,Manual Cepat,Manual Cepat,25.0,10,ManualCepat_SP25_trial10.txt,32.63,7.63,30.52,7.63,30.52,7.63,30.52,11.07,10.807,10.331,,0,OVERSHOOT,True,TARGET,0.4,,0
111,Manual Cepat,Manual Cepat,30.0,1,ManualCepat_SP30_trial01.txt,33.19,3.19,10.64,3.19,10.64,3.19,10.64,9.78,9.518,9.042,,0,OVERSHOOT,True,TARGET,0.4,,0
112,Manual Cepat,Manual Cepat,30.0,2,ManualCepat_SP30_trial02.txt,30.92,0.92,3.05,0.92,3.05,0.92,3.05,21.92,21.659,21.183,21.659,2,AKURAT,True,TARGET,0.4,,1
113,Manual Cepat,Manual Cepat,30.0,3,ManualCepat_SP30_trial03.txt,32.5,2.5,8.32,2.5,8.32,2.5,8.32,29.93,26.31,25.835,,2,OVERSHOOT,True,TARGET,0.4,,0
114,Manual Cepat,Manual Cepat,30.0,4,ManualCepat_SP30_trial04.txt,30.41,0.41,1.37,0.41,1.37,0.41,1.37,7.71,7.193,4.65,7.452,0,AKURAT,True,TARGET,0.4,,1
115,Manual Cepat,Manual Cepat,30.0,5,ManualCepat_SP30_trial05.txt,32.18,2.18,7.27,2.18,7.27,2.18,7.27,21.4,21.145,20.669,,0,OVERSHOOT,True,TARGET,0.4,,0
116,Manual Cepat,Manual Cepat,30.0,6,ManualCepat_SP30_trial06.txt,30.79,0.79,2.64,0.79,2.64,0.79,2.64,22.18,21.402,20.926,21.66,0,AKURAT,True,TARGET,0.4,,1
117,Manual Cepat,Manual Cepat,30.0,7,ManualCepat_SP30_trial07.txt,33.79,3.79,12.62,3.79,12.62,3.79,12.62,17.27,15.202,10.593,,1,OVERSHOOT,True,TARGET,0.4,,0
118,Manual Cepat,Manual Cepat,30.0,8,ManualCepat_SP30_trial08.txt,32.93,2.93,9.77,2.93,9.77,2.93,9.77,15.46,14.945,14.469,,0,OVERSHOOT,True,TARGET,0.4,,0
119,Manual Cepat,Manual Cepat,30.0,9,ManualCepat_SP30_trial09.txt,30.31,0.31,1.04,0.31,1.04,0.31,1.04,29.93,26.311,25.835,29.411,2,AKURAT,True,TARGET,0.4,,1
120,Manual Cepat,Manual Cepat,30.0,10,ManualCepat_SP30_trial10.txt,35.39,5.39,17.98,5.39,17.98,5.39,17.98,19.34,18.045,15.244,,0,OVERSHOOT,True,TARGET,0.4,,0
121,Manual Presisi,Manual Presisi,15.0,1,ManualPresisi_SP15_trial01.txt,16.47,1.47,9.8,1.47,9.8,1.47,9.8,23.46,21.395,14.204,,3,OVERSHOOT,True,TARGET,0.4,,0
122,Manual Presisi,Manual Presisi,15.0,2,ManualPresisi_SP15_trial02.txt,15.43,0.43,2.87,0.43,2.87,0.43,2.87,34.05,33.538,26.088,33.796,3,AKURAT,True,TARGET,0.4,,1
