======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 0
ataFomat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,24499,7.98,7.02,46.8%,OPEN_SLOW,20,Z2
BRIDGING #2 @7.99g hammer
DATA,24758,7.99,7.01,46.8%,OPEN_SLOW,20,Z2
DATA,25016,7.98,7.02,46.8%,OPEN_SLOW,20,Z2
DATA,25274,7.98,7.02,46.8%,OPEN_SLOW,20,Z2
DATA,25533,7.97,7.03,46.9%,OPEN_SLOW,20,Z2
DATA,25791,8.52,6.48,43.2%,OPEN_SLOW,20,Z2
DATA,26049,8.95,6.05,40.3%,OPEN_SLOW,20,Z2
DATA,26307,8.92,6.08,40.6%,OPEN_SLOW,20,Z2
DATA,26566,8.98,6.02,40.2%,OPEN_SLOW,20,Z2
DATA,26824,8.93,6.07,40.5%,OPEN_SLOW,20,Z2
DATA,27082,8.91,6.09,40.6%,OPEN_SLOW,20,Z2
DATA,27341,8.92,6.08,40.5%,OPEN_SLOW,20,Z2
DATA,27599,9.35,5.65,37.7%,OPEN_SLOW,20,Z2
DATA,27857,9.37,5.63,37.5%,OPEN_SLOW,20,Z2
DATA,28115,9.38,5.62,37.5%,OPEN_SLOW,20,Z2
DATA,28374,9.36,5.64,37.6%,OPEN_SLOW,20,Z2
DATA,28632,9.28,5.72,38.1%,OPEN_SLOW,20,Z2
DATA,28890,9.49,5.51,36.7%,OPEN_SLOW,20,Z2
DATA,29149,9.38,5.62,37.5%,OPEN_SLOW,20,Z2
DATA,29407,9.76,5.24,35.0%,OPEN_SLOW,20,Z2
DATA,29665,9.96,5.04,33.6%,OPEN_SLOW,20,Z2
DATA,29923,9.92,5.08,33.9%,OPEN_SLOW,20,Z2
DATA,30182,9.99,5.01,33.4%,OPEN_SLOW,20,Z2
DATA,30440,9.90,5.10,34.0%,OPEN_SLOW,20,Z2
DATA,30698,9.88,5.12,34.1%,OPEN_SLOW,20,Z2
DATA,30957,9.87,5.13,34.2%,OPEN_SLOW,20,Z2
DATA,31215,9.97,5.03,33.5%,OPEN_SLOW,20,Z2
DATA,31473,10.14,4.86,32.4%,OPEN_SLOW,20,Z2
DATA,31732,10.42,4.58,30.6%,OPEN_SLOW,20,Z2
DATA,31990,10.54,4.46,29.8%,OPEN_SLOW,20,Z2
DATA,32248,10.76,4.24,28.3%,OPEN_SLOW,20,Z2
DATA,32507,10.79,4.21,28.1%,OPEN_SLOW,20,Z2
DATA,32765,10.98,4.02,26.8%,OPEN_SLOW,20,Z2
DATA,33023,11.11,3.89,25.9%,OPEN_SLOW,20,Z2
DATA,33282,10.86,4.14,27.6%,OPEN_SLOW,20,Z2
DATA,33540,10.89,4.11,27.4%,OPEN_SLOW,20,Z2
DATA,33798,10.95,4.05,27.0%,OPEN_SLOW,20,Z2
DATA,34056,11.04,3.96,26.4%,OPEN_SLOW,20,Z2
DATA,34315,10.89,4.11,27.4%,OPEN_SLOW,20,Z2
DATA,34573,11.08,3.92,26.1%,OPEN_SLOW,20,Z2
DATA,34831,11.17,3.83,25.5%,OPEN_SLOW,20,Z2
DATA,35090,11.18,3.82,25.4%,OPEN_SLOW,20,Z2
DATA,35348,11.16,3.84,25.6%,OPEN_SLOW,20,Z2
DATA,35606,11.50,3.50,23.3%,OPEN_SLOW,20,Z2
DATA,35865,11.79,3.21,21.4%,OPEN_SLOW,20,Z2
DATA,36123,11.66,3.34,22.3%,OPEN_SLOW,20,Z2
DATA,36381,11.64,3.36,22.4%,OPEN_SLOW,20,Z2
DATA,36640,11.69,3.31,22.1%,OPEN_SLOW,20,Z2
DATA,36898,11.70,3.30,22.0%,OPEN_SLOW,20,Z2
DATA,37156,11.74,3.26,21.8%,OPEN_SLOW,20,Z2
DATA,37415,11.75,3.25,21.7%,OPEN_SLOW,20,Z2
DATA,37673,11.71,3.29,22.0%,OPEN_SLOW,20,Z2
DATA,37931,11.63,3.37,22.5%,OPEN_SLOW,20,Z2
DATA,38189,11.67,3.33,22.2%,OPEN_SLOW,20,Z2
DATA,38448,11.68,3.32,22.1%,OPEN_SLOW,20,Z2
DATA,38706,11.69,3.31,22.0%,OPEN_SLOW,20,Z2
DATA,38964,11.69,3.31,22.1%,OPEN_SLOW,20,Z2
DATA,39223,11.66,3.34,22.3%,OPEN_SLOW,20,Z2
DATA,39481,11.66,3.34,22.3%,OPEN_SLOW,20,Z2
DATA,39739,11.67,3.33,22.2%,OPEN_SLOW,20,Z2
DATA,39998,11.69,3.31,22.0%,OPEN_SLOW,20,Z2
BRIDGING #3 @11.70g hammer
DATA,40256,11.70,3.30,22.0%,OPEN_SLOW,20,Z2
DATA,40514,11.66,3.34,22.3%,OPEN_SLOW,20,Z2
DATA,40772,11.64,3.36,22.4%,OPEN_SLOW,20,Z2
DATA,41031,11.62,3.38,22.6%,OPEN_SLOW,20,Z2
DATA,41289,12.76,2.24,14.9%,OPEN_SLOW,20,Z3
DATA,41547,14.17,0.83,5.5%,OPEN_SLOW,20,Z3
DATA,41805,14.04,0.96,6.4%,OPEN_SLOW,20,Z3
DATA,42064,14.07,0.93,6.2%,OPEN_SLOW,20,Z3
DATA,42322,14.04,0.96,6.4%,OPEN_SLOW,20,Z3
DATA,42580,14.03,0.97,6.5%,OPEN_SLOW,20,Z3
DATA,42839,14.00,1.00,6.7%,OPEN_SLOW,20,Z3
DATA,43097,14.15,0.85,5.7%,OPEN_SLOW,20,Z3
DATA,43355,14.12,0.88,5.9%,OPEN_SLOW,20,Z3
DATA,43613,14.12,0.88,5.9%,OPEN_SLOW,20,Z3
DATA,43872,14.25,0.75,5.0%,OPEN_SLOW,20,Z3
DATA,44130,14.39,0.61,4.1%,OPEN_SLOW,20,Z3
DATA,44388,14.32,0.68,4.5%,OPEN_SLOW,20,Z3
DATA,44647,14.36,0.64,4.3%,OPEN_SLOW,20,Z3
DATA,44905,14.32,0.68,4.6%,OPEN_SLOW,20,Z3
DATA,45163,14.09,0.91,6.1%,OPEN_SLOW,20,Z3
DATA,45421,14.23,0.77,5.2%,OPEN_SLOW,20,Z3
DATA,45680,14.36,0.64,4.3%,OPEN_SLOW,20,Z3
DATA,45938,14.33,0.67,4.5%,OPEN_SLOW,20,Z3
DATA,46196,14.27,0.73,4.9%,OPEN_SLOW,20,Z3
DATA,46455,14.30,0.70,4.7%,OPEN_SLOW,20,Z3
DATA,46713,14.30,0.70,4.7%,OPEN_SLOW,20,Z3
DATA,46971,14.29,0.71,4.7%,OPEN_SLOW,20,Z3
DATA,47230,14.31,0.69,4.6%,OPEN_SLOW,20,Z3
DATA,47488,14.23,0.77,5.1%,OPEN_SLOW,20,Z3
DATA,47746,14.35,0.65,4.4%,OPEN_SLOW,20,Z3
DATA,48005,14.44,0.56,3.8%,OPEN_SLOW,20,Z3
DATA,48263,14.37,0.63,4.2%,OPEN_SLOW,20,Z3
DATA,48521,14.38,0.62,4.1%,OPEN_SLOW,20,Z3
DATA,48779,14.34,0.66,4.4%,OPEN_SLOW,20,Z3
DATA,49038,14.31,0.69,4.6%,OPEN_SLOW,20,Z3
DATA,49296,14.38,0.62,4.1%,OPEN_SLOW,20,Z3
DATA,49554,14.21,0.79,5.3%,OPEN_SLOW,20,Z3
DATA,49813,14.27,0.73,4.9%,OPEN_SLOW,20,Z3
DATA,50071,14.25,0.75,5.0%,OPEN_SLOW,20,Z3
DATA,50329,14.48,0.52,3.5%,OPEN_SLOW,20,Z3
DATA,50588,14.41,0.59,3.9%,OPEN_SLOW,20,Z3
DATA,50846,14.44,0.56,3.7%,OPEN_SLOW,20,Z3
DATA,51104,14.32,0.68,4.6%,OPEN_SLOW,20,Z3
DATA,51362,14.27,0.73,4.8%,OPEN_SLOW,20,Z3
DATA,51621,14.39,0.61,4.1%,OPEN_SLOW,20,Z3
DATA,51879,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,52137,14.38,0.62,4.1%,OPEN_SLOW,20,Z3
DATA,52396,14.44,0.56,3.8%,OPEN_SLOW,20,Z3
DATA,52654,14.52,0.48,3.2%,OPEN_SLOW,20,Z3
DATA,52912,14.49,0.51,3.4%,OPEN_SLOW,20,Z3
DATA,53171,14.47,0.53,3.6%,OPEN_SLOW,20,Z3
DATA,53429,14.49,0.51,3.4%,OPEN_SLOW,20,Z3
DATA,53687,14.51,0.49,3.2%,OPEN_SLOW,20,Z3
DATA,53946,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,54204,14.48,0.52,3.5%,OPEN_SLOW,20,Z3
DATA,54462,14.48,0.52,3.5%,OPEN_SLOW,20,Z3
DATA,54720,14.45,0.55,3.7%,OPEN_SLOW,20,Z3
DATA,54979,14.47,0.53,3.5%,OPEN_SLOW,20,Z3
DATA,55237,14.47,0.53,3.6%,OPEN_SLOW,20,Z3
DATA,55495,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,55754,14.45,0.55,3.6%,OPEN_SLOW,20,Z3
DATA,56012,14.41,0.59,3.9%,OPEN_SLOW,20,Z3
DATA,56270,14.46,0.54,3.6%,OPEN_SLOW,20,Z3
DATA,56529,14.49,0.51,3.4%,OPEN_SLOW,20,Z3
DATA,56787,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,57045,14.46,0.54,3.6%,OPEN_SLOW,20,Z3
DATA,57304,14.45,0.55,3.7%,OPEN_SLOW,20,Z3
DATA,57562,14.39,0.61,4.1%,OPEN_SLOW,20,Z3
DATA,57820,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,58078,14.45,0.55,3.7%,OPEN_SLOW,20,Z3
DATA,58337,14.41,0.59,3.9%,OPEN_SLOW,20,Z3
DATA,58595,14.44,0.56,3.8%,OPEN_SLOW,20,Z3
DATA,58853,14.44,0.56,3.7%,OPEN_SLOW,20,Z3
DATA,59112,14.47,0.53,3.6%,OPEN_SLOW,20,Z3
DATA,59370,14.44,0.56,3.7%,OPEN_SLOW,20,Z3
DATA,59628,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,59887,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,60145,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,60403,14.41,0.59,3.9%,OPEN_SLOW,20,Z3
DATA,60661,14.40,0.60,4.0%,OPEN_SLOW,20,Z3
DATA,60920,14.43,0.57,3.8%,OPEN_SLOW,20,Z3
DATA,61178,14.34,0.66,4.4%,OPEN_SLOW,20,Z3
DATA,61436,14.10,0.90,6.0%,OPEN_SLOW,20,Z3
DATA,61695,14.26,0.74,5.0%,OPEN_SLOW,20,Z3
DATA,61953,14.33,0.67,4.5%,OPEN_SLOW,20,Z3
DATA,62211,14.37,0.63,4.2%,OPEN_SLOW,20,Z3
DATA,62470,14.53,0.47,3.1%,OPEN_SLOW,20,Z3
=== SUMMARY TRIAL ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
FinalMass_g: 14.35
FinalError_g: -0.65
FinalError_pct: -4.32
Duration_ms: 62986
Duration_s: 62.99
TimeTo90_ms: 41547
RiseTime_10_90_ms: 34871
SettlingTime_ms: 61695
MaxMass_g: 14.60
MaxOvershoot_g: 0.00
MaxOvershoot_pct: 0.00
BridgingCount: 3
Status: AKURAT
Valid: TRUE
StopReason: TARGET
=== TRIAL END ===
r=reset | g=ulangi | c=parameter
